"Time","Sales","Trend Line","7-Day Moving Average"
"2024-03-18 01:00:00",45.25,90.60351756449667,66.64
"2024-03-19 01:00:00",88.51,,85.12
"2024-03-20 01:00:00",118.22,,88.34
"2024-03-21 01:00:00",78.75,,78.96
"2024-03-22 01:00:00",88.11,,81.89
"2024-03-23 01:00:00",81.34,,79.66
"2024-03-24 01:00:00",52.57,,77.98
"2024-03-25 01:00:00",65.71,,87.22
"2024-03-26 01:00:00",72.94,,81.18
"2024-03-27 01:00:00",106.45,,77.43
"2024-03-28 01:00:00",143.39,,77.23
"2024-03-29 01:00:00",45.87,,79.06
"2024-03-30 01:00:00",55.07,,80.84
"2024-03-31 01:00:00",51.21,,80.84
"2024-04-01 02:00:00",78.47,,77.79
"2024-04-02 02:00:00",85.45,,88.38
"2024-04-03 02:00:00",106.4,,95.57
"2024-04-04 02:00:00",122.03,,98.83
"2024-04-05 02:00:00",120.03,,98.61
"2024-04-06 02:00:00",105.4,,103.33
"2024-04-07 02:00:00",74.05,,108.46
"2024-04-08 02:00:00",76.94,,106.31
"2024-04-09 02:00:00",118.48,,98.91
"2024-04-10 02:00:00",142.32,,91.29
"2024-04-11 02:00:00",106.92,,88.07
"2024-04-12 02:00:00",68.27,,85.76
"2024-04-13 02:00:00",52.02,,76.84
"2024-04-14 02:00:00",51.55,,64.96
"2024-04-15 02:00:00",60.78,,61.96
"2024-04-16 02:00:00",56.01,,72.26
"2024-04-17 02:00:00",59.19,,89.29
"2024-04-18 02:00:00",85.92,,94.45
"2024-04-19 02:00:00",140.34,,94.64
"2024-04-20 02:00:00",171.21,,100.97
"2024-04-21 02:00:00",87.68,,105.25
"2024-04-22 02:00:00",62.15,,119.64
"2024-04-23 02:00:00",100.32,,112.35
"2024-04-24 02:00:00",89.1,,100.29
"2024-04-25 02:00:00",186.7,,98.27
"2024-04-26 02:00:00",89.28,,98.92
"2024-04-27 02:00:00",86.77,,99.43
"2024-04-28 02:00:00",73.59,,110.73
"2024-04-29 02:00:00",66.65,,106.7
"2024-04-30 02:00:00",103.91,,116.85
"2024-05-01 02:00:00",168.19,,124.86
"2024-05-02 02:00:00",158.51,,123.43
"2024-05-03 02:00:00",160.34,,122.37
"2024-05-04 02:00:00",142.81,,131.78
"2024-05-05 02:00:00",63.6,,120.51
"2024-05-06 02:00:00",59.23,,116.85
"2024-05-07 02:00:00",169.78,,114.96
"2024-05-08 02:00:00",89.28,,104.28
"2024-05-09 02:00:00",132.89,,104.24
"2024-05-10 02:00:00",147.16,,106.15
"2024-05-11 02:00:00",68.05,,95.17
"2024-05-12 02:00:00",63.28,,91.71
"2024-05-13 02:00:00",72.6,,81.13
"2024-05-14 02:00:00",92.9,,87.64
"2024-05-15 02:00:00",65.09,,104.43
"2024-05-16 02:00:00",58.83,,113.85
