"Time","Sales","Trend Line","7-Day Moving Average"
"2024-03-18 01:00:00",8.98,5.931964799055858,8.01
"2024-03-19 01:00:00",9.09,,8.48
"2024-03-20 01:00:00",4.54,,7.38
"2024-03-21 01:00:00",6.55,,7.44
"2024-03-22 01:00:00",12.05,,6.8
"2024-03-23 01:00:00",5.92,,6.26
"2024-03-24 01:00:00",4.96,,6.21
"2024-03-25 01:00:00",4.48,,5.97
"2024-03-26 01:00:00",5.31,,4.87
"2024-03-27 01:00:00",4.2,,7
"2024-03-28 01:00:00",4.89,,7.1
"2024-03-29 01:00:00",4.34,,7.86
"2024-03-30 01:00:00",20.81,,7.77
"2024-03-31 01:00:00",5.64,,7.66
"2024-04-01 02:00:00",9.83,,7.65
"2024-04-02 02:00:00",4.67,,7.84
"2024-04-03 02:00:00",3.46,,5.86
"2024-04-04 02:00:00",4.83,,6.32
"2024-04-05 02:00:00",5.64,,5.42
"2024-04-06 02:00:00",6.93,,5.46
"2024-04-07 02:00:00",8.9,,5.45
"2024-04-08 02:00:00",3.52,,5.19
"2024-04-09 02:00:00",4.94,,4.77
"2024-04-10 02:00:00",3.41,,4.15
"2024-04-11 02:00:00",2.97,,3.38
"2024-04-12 02:00:00",2.75,,4.03
"2024-04-13 02:00:00",2.53,,4.05
"2024-04-14 02:00:00",3.54,,4.35
"2024-04-15 02:00:00",8.04,,4.84
"2024-04-16 02:00:00",5.14,,5.5
"2024-04-17 02:00:00",5.46,,6.43
"2024-04-18 02:00:00",6.43,,6.86
"2024-04-19 02:00:00",7.39,,6.13
"2024-04-20 02:00:00",9,,6.34
"2024-04-21 02:00:00",6.57,,6.67
"2024-04-22 02:00:00",2.95,,6.54
"2024-04-23 02:00:00",6.57,,6.09
"2024-04-24 02:00:00",7.78,,5.29
"2024-04-25 02:00:00",5.5,,6.14
"2024-04-26 02:00:00",4.29,,6.22
"2024-04-27 02:00:00",3.35,,6.02
"2024-04-28 02:00:00",12.57,,5.86
"2024-04-29 02:00:00",3.46,,5.65
"2024-04-30 02:00:00",5.19,,5.53
"2024-05-01 02:00:00",6.65,,5.71
"2024-05-02 02:00:00",4.01,,4.36
"2024-05-03 02:00:00",3.46,,4.62
"2024-05-04 02:00:00",4.65,,4.49
"2024-05-05 02:00:00",3.13,,3.98
"2024-05-06 02:00:00",5.25,,3.87
"2024-05-07 02:00:00",4.25,,4.04
"2024-05-08 02:00:00",3.13,,5.15
"2024-05-09 02:00:00",3.25,,5.36
"2024-05-10 02:00:00",4.63,,5.39
"2024-05-11 02:00:00",12.38,,5.3
"2024-05-12 02:00:00",4.63,,5.77
"2024-05-13 02:00:00",5.45,,5.79
"2024-05-14 02:00:00",3.6,,6.06
"2024-05-15 02:00:00",6.48,,5.71
"2024-05-16 02:00:00",3.39,,5.81
"2024-05-17 02:00:00",6.48,,5.91
"2024-05-18 02:00:00",9.97,,7.59
"2024-05-19 02:00:00",5.27,,7.27
"2024-05-20 02:00:00",6.15,,7.34
"2024-05-21 02:00:00",15.41,,7.11
"2024-05-22 02:00:00",4.2,,6.29
"2024-05-23 02:00:00",3.9,,6.11
"2024-05-24 02:00:00",4.88,,6.05
"2024-05-25 02:00:00",4.2,,4.38
"2024-05-26 02:00:00",4.06,,4.65
"2024-05-27 02:00:00",5.73,,5.07
"2024-05-28 02:00:00",3.69,,5.95
"2024-05-29 02:00:00",6.09,,5.86
"2024-05-30 02:00:00",6.83,,5.66
"2024-05-31 02:00:00",11.08,,6.2
"2024-06-01 02:00:00",3.51,,6.08
"2024-06-02 02:00:00",2.72,,5.62
"2024-06-03 02:00:00",9.47,,5.93
"2024-06-04 02:00:00",2.85,,4.72
"2024-06-05 02:00:00",2.85,,4.72
"2024-06-06 02:00:00",9.03,,5.15
"2024-06-07 02:00:00",2.59,,4.95
"2024-06-08 02:00:00",3.51,,6.27
"2024-06-09 02:00:00",5.73,,6.38
"2024-06-10 02:00:00",8.06,,5.66
"2024-06-11 02:00:00",12.09,,6.1
"2024-06-12 02:00:00",3.64,,6.14
"2024-06-13 02:00:00",4.03,,6.73
"2024-06-14 02:00:00",5.66,,6.94
"2024-06-15 02:00:00",3.8,,6.15
"2024-06-16 02:00:00",9.82,,6.19
"2024-06-17 02:00:00",9.57,,6.46
"2024-06-18 02:00:00",6.55,,6.89
"2024-06-19 02:00:00",3.9,,7.14
"2024-06-20 02:00:00",5.92,,6.25
"2024-06-21 02:00:00",8.69,,5.43
"2024-06-22 02:00:00",5.54,,5.99
"2024-06-23 02:00:00",3.59,,6.51
