"Time","Sales","Trend Line","7-Day Moving Average"
"2025-03-18 01:00:00",352.24,321.75338486709774,284.77
"2025-03-19 01:00:00",336.9,,254.59
"2025-03-20 01:00:00",117.41,,197.41
"2025-03-21 01:00:00",130.1,,199.21
"2025-03-22 01:00:00",171.7,,195.39
"2025-03-23 01:00:00",156.12,,183.08
"2025-03-24 01:00:00",129.98,,181.25
"2025-03-25 01:00:00",325.55,,177.94
"2025-03-26 01:00:00",250.68,,176.57
"2025-03-27 01:00:00",104.64,,179.05
"2025-03-28 01:00:00",106.9,,184.84
"2025-03-29 01:00:00",162.09,,181.81
"2025-03-30 01:00:00",173.48,,207.93
"2025-03-31 02:00:00",170.53,,231.73
"2025-04-01 02:00:00",304.32,,239.2
"2025-04-02 02:00:00",433.58,,235.97
"2025-04-03 02:00:00",271.22,,238.05
"2025-04-04 02:00:00",159.19,,235.75
"2025-04-05 02:00:00",139.46,,212.16
"2025-04-06 02:00:00",188.05,,172.87
"2025-04-07 02:00:00",154.42,,152.48
"2025-04-08 02:00:00",139.2,,155.07
"2025-04-09 02:00:00",158.58,,205.74
"2025-04-10 02:00:00",128.47,,193.83
"2025-04-11 02:00:00",177.32,,185.99
"2025-04-12 02:00:00",494.16,,181.23
"2025-04-13 02:00:00",104.67,,179.66
"2025-04-14 02:00:00",99.52,,194.6
"2025-04-15 02:00:00",105.89,,211.47
"2025-04-16 02:00:00",147.56,,182.61
"2025-04-17 02:00:00",233.11,,185.87
"2025-04-18 02:00:00",295.37,,195.36
"2025-04-19 02:00:00",292.18,,208.84
"2025-04-20 02:00:00",127.48,,219.82
"2025-04-21 02:00:00",165.94,,219.49
"2025-04-22 02:00:00",200.26,,224.11
"2025-04-23 02:00:00",224.39,,207.27
"2025-04-24 02:00:00",230.82,,218.28
"2025-04-25 02:00:00",327.69,,216.14
"2025-04-26 02:00:00",174.31,,222.53
"2025-04-27 02:00:00",204.57,,220.08
"2025-04-28 02:00:00",150.97,,231.99
"2025-04-29 02:00:00",244.93,,220.17
"2025-04-30 02:00:00",207.29,,248.41
"2025-05-01 02:00:00",314.17,,274.78
"2025-05-02 02:00:00",0,,228.03
"2025-05-03 02:00:00",409.65,,283.35
"2025-05-04 02:00:00",282.27,,284.52
"2025-05-05 02:00:00",137.92,,264.12
"2025-05-06 02:00:00",222.47,,275.18
"2025-05-07 02:00:00",342.87,,240.18
"2025-05-08 02:00:00",315.76,,238.08
"2025-05-09 02:00:00",215.29,,258.87
"2025-05-10 02:00:00",164.67,,292.08
"2025-05-11 02:00:00",267.56,,367.35
"2025-05-12 02:00:00",283.44,,346.53
"2025-05-13 02:00:00",455,,339.78
"2025-05-14 02:00:00",869.7,,340.44
"2025-05-15 02:00:00",170.02,,338.31
"2025-05-16 02:00:00",168.07,,394.92
"2025-05-17 02:00:00",169.29,,359.49
"2025-05-18 02:00:00",252.67,,265.99
"2025-05-19 02:00:00",679.69,,273.72
"2025-05-20 02:00:00",206.96,,275.5
"2025-05-21 02:00:00",215.23,,281.52
"2025-05-22 02:00:00",224.1,,290.41
"2025-05-23 02:00:00",180.59,,254.22
"2025-05-24 02:00:00",211.37,,257.6
"2025-05-25 02:00:00",314.91,,259.88
"2025-05-26 02:00:00",426.39,,288.78
"2025-05-27 02:00:00",230.6,,267.96
"2025-05-28 02:00:00",231.22,,344.19
"2025-05-29 02:00:00",0,,261.11
"2025-05-30 02:00:00",0,,222.56
"2025-05-31 02:00:00",743.76,,426.57
"2025-06-01 02:00:00",195.83,,263.31
"2025-06-02 02:00:00",156.53,,257.87
"2025-06-03 02:00:00",171.13,,280.85
"2025-06-04 02:00:00",184.26,,246.14
"2025-06-05 02:00:00",197.08,,250.04
"2025-06-06 02:00:00",317.36,,290.11
"2025-06-07 02:00:00",500.81,,340.14
"2025-06-08 02:00:00",223.13,,379.52
"2025-06-09 02:00:00",437,,413.79
"2025-06-10 02:00:00",521.35,,452.84
"2025-06-11 02:00:00",459.88,,406.09
"2025-06-12 02:00:00",0,,356.23
"2025-06-13 02:00:00",506.33,,438.46
"2025-06-14 02:00:00",235.07,,320.06
"2025-06-15 02:00:00",333.96,,344.46
"2025-06-16 02:00:00",0,,247.1
"2025-06-17 02:00:00",0,,288.79
"2025-06-18 02:00:00",0,,357.75
"2025-06-19 02:00:00",654.33,,626.72
"2025-06-20 02:00:00",798.14,,630.34
"2025-06-21 02:00:00",717.85,,554.43
"2025-06-22 02:00:00",253.74,,521.99
"2025-06-23 02:00:00",392.03,,491.01
"2025-06-24 02:00:00",347.06,,472.75
"2025-06-25 02:00:00",490.79,,440.31
"2025-06-26 02:00:00",437.48,,435.98
"2025-06-27 02:00:00",670.31,,454.24
"2025-06-28 02:00:00",0,,343.85
"2025-06-29 02:00:00",276.68,,352.89
"2025-06-30 02:00:00",287.03,,339.61
"2025-07-01 02:00:00",244.65,,296.21
"2025-07-02 02:00:00",277.43,,387.81
"2025-07-03 02:00:00",334.15,,438.2
"2025-07-04 02:00:00",408.87,,489.48
"2025-07-05 02:00:00",885.88,,540.33
"2025-07-06 02:00:00",629.37,,593.62
"2025-07-07 02:00:00",645.99,,585.13
"2025-07-08 02:00:00",600.62,,563.88
"2025-07-09 02:00:00",650.46,,472.37
"2025-07-10 02:00:00",274.75,,421.71
"2025-07-11 02:00:00",260.06,,358.98
"2025-07-12 02:00:00",245.36,,308.63
"2025-07-13 02:00:00",0,,228.93
"2025-07-14 02:00:00",221.57,,289.52
"2025-07-15 02:00:00",262.87,,339.56
"2025-07-16 02:00:00",337.92,,397.71
"2025-07-17 02:00:00",477.3,,416.63
"2025-07-18 02:00:00",569.02,,434.24
"2025-07-19 02:00:00",577.36,,479.17
"2025-07-20 02:00:00",470.34,,446.64
"2025-07-21 02:00:00",344.87,,410
"2025-07-22 02:00:00",0,,350.43
"2025-07-23 02:00:00",217.24,,374.77
"2025-07-24 02:00:00",346.3,,353.36
"2025-07-25 02:00:00",496.87,,358.24
"2025-07-26 02:00:00",530.56,,321.9
"2025-07-27 02:00:00",191.41,,337.86
"2025-07-28 02:00:00",228.42,,358.86
"2025-07-29 02:00:00",242.51,,350.14
"2025-07-30 02:00:00",328.96,,346.91
"2025-07-31 02:00:00",493.3,,421.96
"2025-08-01 02:00:00",435.85,,446.67
"2025-08-02 02:00:00",507.94,,455.25
"2025-08-03 02:00:00",716.74,,463.66
"2025-08-04 02:00:00",401.42,,429.94
"2025-08-05 02:00:00",302.54,,401.79
"2025-08-06 02:00:00",387.81,,361.05
"2025-08-07 02:00:00",257.27,,310.94
"2025-08-08 02:00:00",238.81,,308.45
"2025-08-09 02:00:00",222.73,,304.77
"2025-08-10 02:00:00",366.02,,277.64
"2025-08-11 02:00:00",383.94,,285.9
"2025-08-12 02:00:00",276.8,,311.58
"2025-08-13 02:00:00",197.94,,351.34
"2025-08-14 02:00:00",315.04,,346.19
