"Time","Sales","Trend Line","7-Day Moving Average"
"2024-03-18 01:00:00",105.17,111.28600256508501,93.31
"2024-03-19 01:00:00",95.49,,90.52
"2024-03-20 01:00:00",64.4,,87.22
"2024-03-21 01:00:00",72.6,,89.25
"2024-03-22 01:00:00",104.98,,99.11
"2024-03-23 01:00:00",103.49,,109.01
"2024-03-24 01:00:00",78.59,,111.2
"2024-03-25 01:00:00",174.22,,109.73
"2024-03-26 01:00:00",164.76,,119.26
"2024-03-27 01:00:00",79.73,,114.65
"2024-03-28 01:00:00",62.37,,129.52
"2024-03-29 01:00:00",171.69,,124.29
"2024-03-30 01:00:00",71.17,,117.74
"2024-03-31 01:00:00",182.73,,126.22
"2024-04-01 02:00:00",137.6,,131.04
"2024-04-02 02:00:00",118.86,,116.54
"2024-04-03 02:00:00",139.11,,121.72
"2024-04-04 02:00:00",96.1,,111.72
"2024-04-05 02:00:00",70.24,,106.09
"2024-04-06 02:00:00",107.41,,101.37
"2024-04-07 02:00:00",112.75,,93.35
"2024-04-08 02:00:00",98.14,,92.22
"2024-04-09 02:00:00",85.87,,125.84
"2024-04-10 02:00:00",82.95,,146.04
"2024-04-11 02:00:00",88.21,,178.33
"2024-04-12 02:00:00",305.52,,187.23
"2024-04-13 02:00:00",248.86,,190.9
"2024-04-14 02:00:00",338.76,,191.58
"2024-04-15 02:00:00",160.47,,193.51
"2024-04-16 02:00:00",111.56,,162.08
"2024-04-17 02:00:00",87.7,,140.4
"2024-04-18 02:00:00",101.68,,115.07
"2024-04-19 02:00:00",85.53,,107.17
"2024-04-20 02:00:00",97.1,,103.02
"2024-04-21 02:00:00",161.46,,100.26
"2024-04-22 02:00:00",105.19,,97.45
"2024-04-23 02:00:00",82.45,,102.43
"2024-04-24 02:00:00",68.44,,117.49
"2024-04-25 02:00:00",81.99,,112.54
"2024-04-26 02:00:00",120.35,,115.63
"2024-04-27 02:00:00",202.57,,119.66
"2024-04-28 02:00:00",126.79,,152.44
"2024-04-29 02:00:00",126.79,,153.48
"2024-04-30 02:00:00",110.72,,147.95
"2024-05-01 02:00:00",297.86,,130.57
"2024-05-02 02:00:00",89.25,,150.3
"2024-05-03 02:00:00",81.67,,146.9
"2024-05-04 02:00:00",80.92,,141.35
"2024-05-05 02:00:00",264.91,,110.81
"2024-05-06 02:00:00",102.98,,107.38
"2024-05-07 02:00:00",71.85,,105.44
"2024-05-08 02:00:00",84.11,,105.79
"2024-05-09 02:00:00",65.25,,91.47
"2024-05-10 02:00:00",68.08,,92.74
"2024-05-11 02:00:00",83.33,,96.29
"2024-05-12 02:00:00",164.71,,92.98
"2024-05-13 02:00:00",111.83,,93.65
"2024-05-14 02:00:00",96.72,,103.44
"2024-05-15 02:00:00",60.92,,106.76
"2024-05-16 02:00:00",69.96,,98.49
"2024-05-17 02:00:00",136.63,,93.61
"2024-05-18 02:00:00",106.58,,112.05
"2024-05-19 02:00:00",106.82,,113.79
"2024-05-20 02:00:00",77.66,,114.84
"2024-05-21 02:00:00",225.78,,109.34
"2024-05-22 02:00:00",73.11,,103.29
"2024-05-23 02:00:00",77.28,,104.64
"2024-05-24 02:00:00",98.15,,111.83
"2024-05-25 02:00:00",64.25,,92.67
"2024-05-26 02:00:00",116.27,,101.33
"2024-05-27 02:00:00",127.98,,102
"2024-05-28 02:00:00",91.65,,95.5
"2024-05-29 02:00:00",133.75,,95.83
"2024-05-30 02:00:00",81.98,,98.81
"2024-05-31 02:00:00",52.62,,97.12
"2024-06-01 02:00:00",66.53,,91.59
"2024-06-02 02:00:00",137.14,,79.27
"2024-06-03 02:00:00",116.17,,77.49
"2024-06-04 02:00:00",52.93,,81.13
"2024-06-05 02:00:00",47.52,,82.23
"2024-06-06 02:00:00",69.53,,80.52
"2024-06-07 02:00:00",78.09,,71.52
"2024-06-08 02:00:00",74.25,,77.33
"2024-06-09 02:00:00",125.13,,81.45
"2024-06-10 02:00:00",53.18,,88.56
"2024-06-11 02:00:00",93.62,,88.06
"2024-06-12 02:00:00",76.36,,96.5
"2024-06-13 02:00:00",119.31,,88.08
"2024-06-14 02:00:00",74.56,,94.03
"2024-06-15 02:00:00",133.36,,95.2
"2024-06-16 02:00:00",66.16,,96.27
"2024-06-17 02:00:00",94.85,,96.1
"2024-06-18 02:00:00",101.77,,112.69
"2024-06-19 02:00:00",83.86,,110.24
"2024-06-20 02:00:00",118.15,,109.35
"2024-06-21 02:00:00",190.69,,106.02
"2024-06-22 02:00:00",116.17,,100.79
"2024-06-23 02:00:00",59.95,,97.48
"2024-06-24 02:00:00",71.57,,91.74
"2024-06-25 02:00:00",65.14,,85.27
"2024-06-26 02:00:00",60.69,,101.16
"2024-06-27 02:00:00",78,,111.98
"2024-06-28 02:00:00",145.36,,119.39
"2024-06-29 02:00:00",227.44,,119.84
"2024-06-30 02:00:00",135.66,,122.63
"2024-07-01 02:00:00",123.47,,126.94
"2024-07-02 02:00:00",68.27,,129.73
"2024-07-03 02:00:00",80.24,,122.29
"2024-07-04 02:00:00",108.17,,132.26
"2024-07-05 02:00:00",164.86,,134.41
"2024-07-06 02:00:00",175.33,,139.43
"2024-07-07 02:00:00",205.48,,138.19
"2024-07-08 02:00:00",138.54,,134.6
"2024-07-09 02:00:00",103.37,,126.86
"2024-07-10 02:00:00",71.59,,121.32
"2024-07-11 02:00:00",83.01,,120.55
"2024-07-12 02:00:00",110.69,,131.57
"2024-07-13 02:00:00",136.57,,133.77
"2024-07-14 02:00:00",200.08,,134.81
"2024-07-15 02:00:00",215.65,,133.45
"2024-07-16 02:00:00",118.78,,131.06
"2024-07-17 02:00:00",78.86,,130.12
"2024-07-18 02:00:00",73.51,,127.56
"2024-07-19 02:00:00",93.95,,116.97
"2024-07-20 02:00:00",129.98,,116.61
