"Time","Sales","Trend Line","7-Day Moving Average"
"2024-03-18 01:00:00",61.57,39.795187649709256,50.6
"2024-03-19 01:00:00",23.07,,35.26
"2024-03-20 01:00:00",62.15,,46.05
"2024-03-21 01:00:00",22.7,,43.93
"2024-03-22 01:00:00",31.22,,42.55
"2024-03-23 01:00:00",59.51,,43.74
"2024-03-24 01:00:00",47.28,,40.57
"2024-03-25 01:00:00",51.91,,40.79
"2024-03-26 01:00:00",31.4,,39.77
"2024-03-27 01:00:00",39.98,,41.58
"2024-03-28 01:00:00",24.22,,43.72
"2024-03-29 01:00:00",24.1,,44.09
"2024-03-30 01:00:00",72.19,,43.98
"2024-03-31 01:00:00",62.26,,43.14
"2024-04-01 02:00:00",54.46,,43.74
"2024-04-02 02:00:00",30.64,,43.48
"2024-04-03 02:00:00",34.12,,36.13
"2024-04-04 02:00:00",28.41,,31.04
"2024-04-05 02:00:00",22.29,,27.66
"2024-04-06 02:00:00",20.75,,26.39
"2024-04-07 02:00:00",26.59,,24.98
"2024-04-08 02:00:00",30.81,,26.18
"2024-04-09 02:00:00",21.79,,29.91
"2024-04-10 02:00:00",24.19,,36.79
"2024-04-11 02:00:00",36.85,,39.17
"2024-04-12 02:00:00",48.38,,39.48
"2024-04-13 02:00:00",68.92,,40.24
"2024-04-14 02:00:00",43.25,,40.11
"2024-04-15 02:00:00",32.98,,37.91
"2024-04-16 02:00:00",27.13,,40.15
"2024-04-17 02:00:00",23.29,,36.71
"2024-04-18 02:00:00",21.44,,36.51
"2024-04-19 02:00:00",64.03,,38.74
"2024-04-20 02:00:00",44.88,,41.92
"2024-04-21 02:00:00",41.83,,42.94
"2024-04-22 02:00:00",48.55,,43.06
"2024-04-23 02:00:00",49.39,,38.96
"2024-04-24 02:00:00",30.48,,40.48
"2024-04-25 02:00:00",22.28,,39.09
"2024-04-26 02:00:00",35.31,,35.87
"2024-04-27 02:00:00",55.49,,34.02
"2024-04-28 02:00:00",32.15,,33.91
"2024-04-29 02:00:00",26.01,,38.97
"2024-04-30 02:00:00",36.42,,44.7
"2024-05-01 02:00:00",29.7,,45.54
"2024-05-02 02:00:00",57.72,,47.53
"2024-05-03 02:00:00",75.38,,47.11
"2024-05-04 02:00:00",61.37,,45.07
"2024-05-05 02:00:00",46.13,,44.57
"2024-05-06 02:00:00",23.06,,39.58
