"Time","Sales","Trend Line","7-Day Moving Average"
"2024-03-18 01:00:00",2.22,4.114056850012952,2.81
"2024-03-19 01:00:00",4.74,,3.55
"2024-03-20 01:00:00",3.85,,3.17
"2024-03-21 01:00:00",2.22,,3.41
"2024-03-22 01:00:00",2.37,,3.38
"2024-03-23 01:00:00",2.96,,3.12
"2024-03-24 01:00:00",5.51,,2.96
"2024-03-25 01:00:00",2.02,,3.16
"2024-03-26 01:00:00",2.94,,3.67
"2024-03-27 01:00:00",2.7,,3.57
"2024-03-28 01:00:00",3.62,,3.43
"2024-03-29 01:00:00",5.94,,3.55
"2024-03-30 01:00:00",2.27,,3.61
"2024-03-31 01:00:00",4.55,,3.84
"2024-04-01 02:00:00",2.86,,3.73
"2024-04-02 02:00:00",3.31,,3.35
"2024-04-03 02:00:00",4.35,,3.29
"2024-04-04 02:00:00",2.86,,3.23
"2024-04-05 02:00:00",3.25,,3.55
"2024-04-06 02:00:00",1.82,,3.35
"2024-04-07 02:00:00",4.16,,3.12
"2024-04-08 02:00:00",5.1,,3.38
"2024-04-09 02:00:00",1.89,,3.24
"2024-04-10 02:00:00",2.74,,3.43
"2024-04-11 02:00:00",4.72,,3.42
"2024-04-12 02:00:00",2.27,,3.19
"2024-04-13 02:00:00",3.12,,3.25
"2024-04-14 02:00:00",4.07,,3.09
"2024-04-15 02:00:00",3.54,,2.79
"2024-04-16 02:00:00",2.3,,2.87
"2024-04-17 02:00:00",1.59,,2.86
"2024-04-18 02:00:00",2.65,,2.6
"2024-04-19 02:00:00",2.83,,2.42
"2024-04-20 02:00:00",3.01,,2.83
"2024-04-21 02:00:00",2.29,,3.35
"2024-04-22 02:00:00",2.29,,3.34
"2024-04-23 02:00:00",5.14,,3.19
"2024-04-24 02:00:00",5.24,,3.14
"2024-04-25 02:00:00",2.57,,3.24
"2024-04-26 02:00:00",1.81,,3.14
"2024-04-27 02:00:00",2.67,,3.01
"2024-04-28 02:00:00",2.95,,2.5
"2024-04-29 02:00:00",1.62,,2.46
"2024-04-30 02:00:00",4.19,,2.84
"2024-05-01 02:00:00",1.71,,2.86
"2024-05-02 02:00:00",2.29,,2.86
"2024-05-03 02:00:00",4.48,,3.11
"2024-05-04 02:00:00",2.76,,3.08
"2024-05-05 02:00:00",3,,3.41
"2024-05-06 02:00:00",3.33,,4.37
"2024-05-07 02:00:00",4,,4.73
"2024-05-08 02:00:00",4,,5.29
"2024-05-09 02:00:00",9,,5.37
"2024-05-10 02:00:00",7,,5.3
"2024-05-11 02:00:00",6.67,,5.4
"2024-05-12 02:00:00",3.62,,5.34
"2024-05-13 02:00:00",2.78,,4.45
"2024-05-14 02:00:00",4.71,,3.71
"2024-05-15 02:00:00",3.62,,3
"2024-05-16 02:00:00",2.78,,2.73
"2024-05-17 02:00:00",1.81,,2.61
"2024-05-18 02:00:00",1.69,,2.33
"2024-05-19 02:00:00",1.75,,2.17
"2024-05-20 02:00:00",1.89,,2.5
"2024-05-21 02:00:00",2.77,,3.01
"2024-05-22 02:00:00",2.48,,3.14
"2024-05-23 02:00:00",5.1,,3.32
"2024-05-24 02:00:00",5.39,,3.57
"2024-05-25 02:00:00",2.62,,3.47
"2024-05-26 02:00:00",2.98,,4
"2024-05-27 02:00:00",3.66,,3.68
"2024-05-28 02:00:00",2.03,,3.43
"2024-05-29 02:00:00",6.24,,3.43
"2024-05-30 02:00:00",2.85,,3.4
"2024-05-31 02:00:00",3.66,,3.19
"2024-06-01 02:00:00",2.58,,3.68
"2024-06-02 02:00:00",2.77,,3.56
"2024-06-03 02:00:00",2.2,,3.96
"2024-06-04 02:00:00",5.43,,4.07
"2024-06-05 02:00:00",5.43,,4.14
"2024-06-06 02:00:00",5.66,,4.05
"2024-06-07 02:00:00",4.39,,4.6
"2024-06-08 02:00:00",3.12,,4.25
"2024-06-09 02:00:00",2.14,,3.86
"2024-06-10 02:00:00",6.06,,3.5
"2024-06-11 02:00:00",2.98,,3.17
"2024-06-12 02:00:00",2.7,,3.71
"2024-06-13 02:00:00",3.08,,3.76
"2024-06-14 02:00:00",2.14,,3.32
"2024-06-15 02:00:00",6.9,,3.25
"2024-06-16 02:00:00",2.48,,3.08
"2024-06-17 02:00:00",2.95,,3.13
"2024-06-18 02:00:00",2.48,,3.33
"2024-06-19 02:00:00",1.55,,2.86
"2024-06-20 02:00:00",3.41,,3.05
"2024-06-21 02:00:00",3.57,,2.98
"2024-06-22 02:00:00",3.57,,2.98
"2024-06-23 02:00:00",3.85,,3.13
"2024-06-24 02:00:00",2.46,,3.05
"2024-06-25 02:00:00",2.46,,2.77
"2024-06-26 02:00:00",2.57,,2.86
"2024-06-27 02:00:00",2.89,,2.92
"2024-06-28 02:00:00",1.6,,2.95
"2024-06-29 02:00:00",4.17,,3.01
"2024-06-30 02:00:00",4.26,,3.47
"2024-07-01 02:00:00",2.71,,3.51
"2024-07-02 02:00:00",2.88,,3.6
"2024-07-03 02:00:00",5.81,,3.86
"2024-07-04 02:00:00",3.17,,3.69
"2024-07-05 02:00:00",2.19,,3.85
"2024-07-06 02:00:00",5.99,,4.86
