"Time","Sales","Trend Line","7-Day Moving Average"
"2024-03-18 01:00:00",57.19,64.99225942004927,65.28
"2024-03-19 01:00:00",80.78,,78.13
"2024-03-20 01:00:00",63.61,,73.53
"2024-03-21 01:00:00",83.81,,69.71
"2024-03-22 01:00:00",99.95,,67.94
"2024-03-23 01:00:00",65.76,,73.74
"2024-03-24 01:00:00",36.88,,70.8
"2024-03-25 01:00:00",44.81,,64.65
"2024-03-26 01:00:00",121.35,,56.77
"2024-03-27 01:00:00",43.06,,62.77
"2024-03-28 01:00:00",40.75,,72.98
"2024-03-29 01:00:00",44.81,,81.42
"2024-03-30 01:00:00",107.7,,76.58
"2024-03-31 01:00:00",108.4,,75.72
"2024-04-01 02:00:00",103.88,,76.2
"2024-04-02 02:00:00",87.49,,75.32
"2024-04-03 02:00:00",36.98,,66.67
"2024-04-04 02:00:00",44.13,,60.73
"2024-04-05 02:00:00",38.66,,52.43
"2024-04-06 02:00:00",47.18,,45.32
"2024-04-07 02:00:00",66.8,,47.63
"2024-04-08 02:00:00",45.8,,47.93
"2024-04-09 02:00:00",37.69,,58.92
"2024-04-10 02:00:00",53.13,,61.94
"2024-04-11 02:00:00",46.24,,63.38
"2024-04-12 02:00:00",115.62,,63.03
"2024-04-13 02:00:00",68.28,,63.26
"2024-04-14 02:00:00",76.9,,62.46
"2024-04-15 02:00:00",43.35,,67.46
"2024-04-16 02:00:00",39.3,,66.88
"2024-04-17 02:00:00",47.55,,68.46
"2024-04-18 02:00:00",81.23,,62.32
"2024-04-19 02:00:00",111.53,,62.92
"2024-04-20 02:00:00",79.34,,65.05
"2024-04-21 02:00:00",33.94,,66.03
"2024-04-22 02:00:00",47.52,,62.21
"2024-04-23 02:00:00",54.21,,59.44
"2024-04-24 02:00:00",54.44,,57.27
"2024-04-25 02:00:00",54.51,,59.92
"2024-04-26 02:00:00",92.12,,59.17
"2024-04-27 02:00:00",64.17,,59.79
"2024-04-28 02:00:00",52.47,,63.39
"2024-04-29 02:00:00",42.26,,71.9
"2024-04-30 02:00:00",58.53,,70.19
"2024-05-01 02:00:00",79.69,,73.21
"2024-05-02 02:00:00",114.06,,74.81
"2024-05-03 02:00:00",80.12,,74.76
"2024-05-04 02:00:00",85.37,,84.43
"2024-05-05 02:00:00",63.63,,83.35
"2024-05-06 02:00:00",41.91,,74.91
"2024-05-07 02:00:00",126.24,,77.59
"2024-05-08 02:00:00",72.1,,71.42
"2024-05-09 02:00:00",54.97,,67.78
"2024-05-10 02:00:00",98.94,,66.69
"2024-05-11 02:00:00",42.14,,57.85
"2024-05-12 02:00:00",38.18,,54.35
"2024-05-13 02:00:00",34.26,,54.54
"2024-05-14 02:00:00",64.38,,50.97
"2024-05-15 02:00:00",47.59,,58.85
"2024-05-16 02:00:00",56.31,,61.25
"2024-05-17 02:00:00",73.91,,62.31
"2024-05-18 02:00:00",97.29,,59.58
"2024-05-19 02:00:00",55.02,,60.27
"2024-05-20 02:00:00",41.65,,58.95
"2024-05-21 02:00:00",45.28,,67.81
"2024-05-22 02:00:00",52.41,,72.55
"2024-05-23 02:00:00",47.12,,75.59
"2024-05-24 02:00:00",135.87,,75.16
"2024-05-25 02:00:00",130.53,,73.58
"2024-05-26 02:00:00",76.25,,73.99
"2024-05-27 02:00:00",38.69,,79.26
"2024-05-28 02:00:00",34.18,,72.17
"2024-05-29 02:00:00",55.3,,62.91
"2024-05-30 02:00:00",83.97,,58.25
"2024-05-31 02:00:00",86.28,,59.43
"2024-06-01 02:00:00",65.72,,60.91
"2024-06-02 02:00:00",43.63,,59.31
"2024-06-03 02:00:00",46.91,,52.1
"2024-06-04 02:00:00",44.54,,43.44
"2024-06-05 02:00:00",44.15,,36.85
"2024-06-06 02:00:00",33.47,,35.34
"2024-06-07 02:00:00",25.64,,30.9
"2024-06-08 02:00:00",19.63,,26.13
"2024-06-09 02:00:00",33.07,,22.78
"2024-06-10 02:00:00",15.77,,21.09
"2024-06-11 02:00:00",11.19,,19.58
"2024-06-12 02:00:00",20.67,,18.74
"2024-06-13 02:00:00",21.69,,16.72
"2024-06-14 02:00:00",15.04,,17.5
"2024-06-15 02:00:00",13.73,,19.52
"2024-06-16 02:00:00",18.97,,21.55
"2024-06-17 02:00:00",21.24,,24.3
"2024-06-18 02:00:00",25.33,,27.76
"2024-06-19 02:00:00",34.86,,33.29
"2024-06-20 02:00:00",40.94,,36.87
"2024-06-21 02:00:00",39.22,,39.9
"2024-06-22 02:00:00",52.47,,45.04
"2024-06-23 02:00:00",44.03,,51.4
"2024-06-24 02:00:00",42.46,,58.99
"2024-06-25 02:00:00",61.33,,69.52
"2024-06-26 02:00:00",79.34,,78.13
"2024-06-27 02:00:00",94.06,,83.74
"2024-06-28 02:00:00",112.93,,85.59
"2024-06-29 02:00:00",112.79,,91.12
"2024-06-30 02:00:00",83.26,,92.43
"2024-07-01 02:00:00",55.45,,99.66
"2024-07-02 02:00:00",100.04,,95.7
"2024-07-03 02:00:00",88.48,,95.29
"2024-07-04 02:00:00",144.68,,91.68
"2024-07-05 02:00:00",85.23,,93.44
"2024-07-06 02:00:00",109.91,,91.76
"2024-07-07 02:00:00",57.99,,97.59
"2024-07-08 02:00:00",67.78,,97.87
"2024-07-09 02:00:00",88.23,,103.99
"2024-07-10 02:00:00",129.28,,105.54
"2024-07-11 02:00:00",146.66,,116.06
"2024-07-12 02:00:00",128.11,,122.03
"2024-07-13 02:00:00",120.73,,123.98
"2024-07-14 02:00:00",131.63,,112.63
"2024-07-15 02:00:00",109.55,,98.85
"2024-07-16 02:00:00",101.87,,92.02
"2024-07-17 02:00:00",49.87,,91.57
"2024-07-18 02:00:00",50.2,,83.13
"2024-07-19 02:00:00",80.29,,75.59
"2024-07-20 02:00:00",117.57,,74.27
"2024-07-21 02:00:00",72.53,,91.48
"2024-07-22 02:00:00",56.77,,96.29
"2024-07-23 02:00:00",92.65,,95.23
"2024-07-24 02:00:00",170.32,,86.05
"2024-07-25 02:00:00",83.92,,82.89
"2024-07-26 02:00:00",72.88,,81.04
"2024-07-27 02:00:00",53.27,,77.31
"2024-07-28 02:00:00",50.4,,63.28
"2024-07-29 02:00:00",43.86,,60.06
"2024-07-30 02:00:00",66.49,,59.7
"2024-07-31 02:00:00",72.15,,71.37
"2024-08-01 02:00:00",61.36,,80.27
"2024-08-02 02:00:00",70.36,,80.12
"2024-08-03 02:00:00",134.94,,78.16
"2024-08-04 02:00:00",112.7,,80.62
"2024-08-05 02:00:00",42.84,,81.12
"2024-08-06 02:00:00",52.77,,80.66
"2024-08-07 02:00:00",89.38,,72.64
"2024-08-08 02:00:00",64.86,,63.47
"2024-08-09 02:00:00",67.14,,63.4
"2024-08-10 02:00:00",78.77,,65.2
"2024-08-11 02:00:00",48.54,,62.01
"2024-08-12 02:00:00",42.34,,65.05
"2024-08-13 02:00:00",65.39,,70.4
"2024-08-14 02:00:00",67.01,,75.28
"2024-08-15 02:00:00",86.16,,80.66
