"Time","Sales","Trend Line","7-Day Moving Average"
"2025-03-23 01:00:00",1.14,0,1.11
"2025-03-24 01:00:00",1.2,,1.16
"2025-03-25 01:00:00",0.84,,1.01
"2025-03-26 01:00:00",1.2,,0.98
"2025-03-27 01:00:00",1.32,,1.02
"2025-03-28 01:00:00",0.54,,1.1
"2025-03-29 01:00:00",0.6,,1.17
"2025-03-30 01:00:00",1.44,,1.35
"2025-03-31 02:00:00",1.79,,1.73
"2025-04-01 02:00:00",1.29,,1.82
"2025-04-02 02:00:00",2.44,,1.92
"2025-04-03 02:00:00",4.02,,1.96
"2025-04-04 02:00:00",1.15,,2.02
"2025-04-05 02:00:00",1.29,,2.27
"2025-04-06 02:00:00",1.75,,2.42
"2025-04-07 02:00:00",2.18,,2.47
"2025-04-08 02:00:00",3.06,,2.99
"2025-04-09 02:00:00",3.49,,3.31
"2025-04-10 02:00:00",4.37,,3.5
"2025-04-11 02:00:00",4.8,,3.29
"2025-04-12 02:00:00",3.49,,2.95
"2025-04-13 02:00:00",3.08,,2.54
"2025-04-14 02:00:00",0.76,,2.03
"2025-04-15 02:00:00",0.65,,1.43
"2025-04-16 02:00:00",0.65,,1.03
"2025-04-17 02:00:00",0.76,,0.81
"2025-04-18 02:00:00",0,,0.76
"2025-04-19 02:00:00",0.65,,0.99
"2025-04-20 02:00:00",1.41,,1.48
"2025-04-21 02:00:00",1.23,,1.9
"2025-04-22 02:00:00",1.58,,2.03
"2025-04-23 02:00:00",3.34,,2.29
"2025-04-24 02:00:00",3.87,,2.26
"2025-04-25 02:00:00",2.11,,2.17
"2025-04-26 02:00:00",2.46,,2.02
"2025-04-27 02:00:00",1.21,,1.59
"2025-04-28 02:00:00",0.65,,1.09
"2025-04-29 02:00:00",0.47,,0.86
"2025-04-30 02:00:00",0.37,,0.57
"2025-05-01 02:00:00",0.37,,0.46
"2025-05-02 02:00:00",0.47,,0.51
"2025-05-03 02:00:00",0.47,,0.56
"2025-05-04 02:00:00",0.43,,0.62
"2025-05-05 02:00:00",0.99,,0.64
"2025-05-06 02:00:00",0.85,,0.68
"2025-05-07 02:00:00",0.76,,0.66
"2025-05-08 02:00:00",0.52,,0.65
"2025-05-09 02:00:00",0.71,,0.55
"2025-05-10 02:00:00",0.38,,0.58
"2025-05-11 02:00:00",0.36,,0.53
"2025-05-12 02:00:00",0.27,,0.51
"2025-05-13 02:00:00",1.06,,0.45
"2025-05-14 02:00:00",0.38,,0.45
"2025-05-15 02:00:00",0.38,,0.45
"2025-05-16 02:00:00",0.29,,0.43
"2025-05-17 02:00:00",0,,0.15
"2025-05-18 02:00:00",0,,0.1
"2025-05-19 02:00:00",0,,0.04
"2025-05-20 02:00:00",0,,0
"2025-05-21 02:00:00",0,,0
"2025-05-22 02:00:00",0,,0
"2025-05-23 02:00:00",0,,0
"2025-05-24 02:00:00",0,,0
"2025-05-25 02:00:00",0,,0
"2025-05-26 02:00:00",0,,0.08
"2025-05-27 02:00:00",0,,1.82
"2025-05-28 02:00:00",0,,2.4
"2025-05-29 02:00:00",0.57,,3.12
"2025-05-30 02:00:00",12.18,,6.53
"2025-05-31 02:00:00",4.08,,3.77
"2025-06-01 02:00:00",3.32,,3.32
"2025-06-02 02:00:00",1.2,,3.36
"2025-06-03 02:00:00",0.97,,1.74
"2025-06-04 02:00:00",0.92,,1.27
"2025-06-05 02:00:00",0.86,,0.97
"2025-06-06 02:00:00",0.8,,0.97
"2025-06-07 02:00:00",0.8,,1.01
"2025-06-08 02:00:00",1.23,,1.14
"2025-06-09 02:00:00",1.23,,1.72
"2025-06-10 02:00:00",1.23,,2.22
"2025-06-11 02:00:00",1.85,,2.64
"2025-06-12 02:00:00",4.92,,2.71
"2025-06-13 02:00:00",4.31,,2.73
"2025-06-14 02:00:00",3.69,,2.84
"2025-06-15 02:00:00",1.71,,2.95
"2025-06-16 02:00:00",1.43,,2.9
"2025-06-17 02:00:00",2,,2.85
"2025-06-18 02:00:00",2.57,,2.86
"2025-06-19 02:00:00",4.57,,3.26
"2025-06-20 02:00:00",4,,3.71
"2025-06-21 02:00:00",3.71,,4.31
"2025-06-22 02:00:00",0,,3.87
"2025-06-23 02:00:00",5.12,,4.28
"2025-06-24 02:00:00",6.48,,4.22
"2025-06-25 02:00:00",3.18,,3.92
"2025-06-26 02:00:00",2.33,,3.76
"2025-06-27 02:00:00",2.27,,3.54
"2025-06-28 02:00:00",4.86,,3.02
"2025-06-29 02:00:00",2.07,,3.11
"2025-06-30 02:00:00",3.56,,3.43
"2025-07-01 02:00:00",2.85,,3.49
"2025-07-02 02:00:00",3.82,,3.04
"2025-07-03 02:00:00",4.6,,3.27
"2025-07-04 02:00:00",2.65,,2.98
"2025-07-05 02:00:00",1.75,,2.82
"2025-07-06 02:00:00",3.67,,2.86
"2025-07-07 02:00:00",1.52,,2.4
"2025-07-08 02:00:00",1.71,,2.28
"2025-07-09 02:00:00",4.12,,2.61
"2025-07-10 02:00:00",1.39,,2.31
"2025-07-11 02:00:00",1.77,,2.34
"2025-07-12 02:00:00",4.12,,2.36
"2025-07-13 02:00:00",1.52,,2.11
"2025-07-14 02:00:00",1.77,,2.6
"2025-07-15 02:00:00",1.86,,2.71
"2025-07-16 02:00:00",2.36,,2.49
"2025-07-17 02:00:00",4.81,,2.39
"2025-07-18 02:00:00",2.53,,2.43
"2025-07-19 02:00:00",2.61,,2.4
"2025-07-20 02:00:00",0.82,,2.28
"2025-07-21 02:00:00",2.05,,1.88
"2025-07-22 02:00:00",1.64,,1.7
"2025-07-23 02:00:00",1.48,,1.49
"2025-07-24 02:00:00",0,,0.74
"2025-07-25 02:00:00",0,,0.7
"2025-07-26 02:00:00",0,,1.04
"2025-07-27 02:00:00",0,,1.24
"2025-07-28 02:00:00",1.81,,2.54
"2025-07-29 02:00:00",3.99,,3.37
"2025-07-30 02:00:00",2.9,,3.31
"2025-07-31 02:00:00",3.63,,3.31
"2025-08-01 02:00:00",3.26,,3.47
"2025-08-02 02:00:00",4.71,,3.58
"2025-08-03 02:00:00",2.85,,3.23
"2025-08-04 02:00:00",2.98,,3.04
"2025-08-05 02:00:00",0,,2.34
"2025-08-06 02:00:00",2.36,,2.16
"2025-08-07 02:00:00",2.11,,2.39
"2025-08-08 02:00:00",1.36,,2.47
"2025-08-09 02:00:00",1.12,,2.83
"2025-08-10 02:00:00",4.71,,3.07
"2025-08-11 02:00:00",4.28,,4.33
"2025-08-12 02:00:00",3.85,,5.97
"2025-08-13 02:00:00",4.07,,6.73
"2025-08-14 02:00:00",10.92,,6.69
"2025-08-15 02:00:00",12.84,,6.44
"2025-08-16 02:00:00",6.42,,6.15
"2025-08-17 02:00:00",4.48,,5.8
