"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
64.,"Flonase Allergy Relief Nasal Spray, 24 Hour Non Drowsy Allergy Medicine, Metered Nasal Spray - 72 Sprays - Fall and Seasonal Allergy Relief","B088WMFYMJ","https://www.amazon.com/dp/B088WMFYMJ?psc=1","https://m.media-amazon.com/images/I/71wfmpIiNEL._AC_SY355_.jpg","Flonase",15.72,"48,824","48,824","N/A","808,460.22","808,224.14",139,251,"AMZ",6.31,1,4.7,"20,061",16,118,"Amazon","Health & Household","Large Standard-Size","AMZ","5.30 x 1.54 x 4.69 in",0.2,"N/A","May 20, 2020",,"No",70,"Amazon"
54.,"Pacagen Cat Allergen Neutralizing Spray for Humans - Perfect for Home Use, Immediate Results, Easy to Use, and Pet Friendly - A Few Sprays Away from A Clear Day","B0D5NFM3MG","https://www.amazon.com/dp/B0D5NFM3MG?psc=1","https://m.media-amazon.com/images/I/61wiTQwtGgL._AC_SY355_.jpg","Pacagen",66,"1,996","1,996","1,000","128,030.94","128,027.43",160,"5,091","N/A",16.82,1,4.2,339,8,33,"Pacagen","Pet Supplies","Large Standard-Size","FBA","12.56 x 4.88 x 6.38 in",1.23,"N/A","Apr 25, 2024",,"No",23,"Pacagen"
61.,"Allerpet Aloe Vera Free Cat Dander Remover - Pet Dander Allergy Relief, Natural & Safe Allergy Relief for Cats and Humans, Soothing Chamomile & Rosemary, Made in USA (12 oz)","B07GL335GN","https://www.amazon.com/dp/B07GL335GN?psc=1","https://m.media-amazon.com/images/I/91Q+ondzFJL._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg","Allerpet",26.99,"3,785","3,339","2,000","97,457.73","83,208.14",173,"3,568","N/A",8.65,1,4.4,"4,326",7,22,"Plethora 7","Pet Supplies","Large Standard-Size","FBA","9.02 x 2.44 x 4.21 in",0.99,"N/A","Nov 15, 2018",,"No",88,"Plethora 7"
25.,"Clorox PURE Allergen Neutralizer Daily Air Spray, Clean Breeze, 8 Ounces","B0FLZ9FSHC","https://www.amazon.com/dp/B0FLZ9FSHC?psc=1","https://m.media-amazon.com/images/I/61OoWjGPtpL._AC_SY355_.jpg","Clorox",5.97,"13,687","13,687","8,000","82,159.82","82,053.14",72,"2,971","AMZ",5.67,1,4.1,296,15,152,"Amazon","Health & Household","Large Standard-Size","AMZ","11.06 x 2.83 x 3.43 in",0.86,"N/A","Dec 1, 2025",,"No",3,"Amazon"
10.,"Allergen Spray, Pets, Dust Allergies & More, Air & Surface, Just Add Water, Bottle, Over 33oz","B010W5OSO6","https://www.amazon.com/dp/B010W5OSO6?psc=1","https://m.media-amazon.com/images/I/71IQI+UhKtL._AC_SY355_.jpg","Allergy Asthma Clean",19.99,"4,410","3,841","3,000","95,906.8","76,748.45",93,"8,204","N/A",8.77,1,4.4,"8,248",9,41,"Allergy Asthma Clean by Allergy Defender","Health & Household","Large Standard-Size","FBA","12.01 x 3.23 x 3.31 in",0.26,"N/A","Jul 10, 2015",,"No",128,"Allergy Asthma Clean by Allergy Defender"
58.,"Pledge Dust & Allergen Multisurface Cleaner, Aerosol Spray, Lemon Scent, 9.7oz (Pack of 3)","B06XD7BRJG","https://www.amazon.com/dp/B06XD7BRJG?psc=1","https://m.media-amazon.com/images/I/71FfVVhaBhL._AC_SY355_PIbundle-3,TopRight,0,0_SH20_.jpg","Pledge",14.77,"5,274","5,138","4,000","76,498.66","75,747.18",90,"8,728","AMZ",8.94,1,4.8,"15,371",6,31,"Amazon","Health & Household","Large Standard-Size","AMZ","10.75 x 2.70 x 7.32 in",2.69,"N/A","Mar 6, 2017",,"No",108,"Amazon"
33.,"The Ecology Works DustmiteX Dust Mite Spray - Dust Mites Remover + Flea Killer for Allergy & Asthma Relief For Cleaning in Home, Bed, Pet Bedding, & Furniture, Anti Allergen Dust Mites Killer","B0882XN8GK","https://www.amazon.com/dp/B0882XN8GK?psc=1","https://m.media-amazon.com/images/I/61BuDhiKFsL._AC_SY355_.jpg","The Ecology Works",21.95,"3,295","2,992","2,000","76,925.93","65,404.57",191,"12,763","N/A",10.38,1,4.3,"2,204",6,250,"The Ecology Works, Inc","Health & Household","Large Standard-Size","FBA","9.21 x 3.86 x 7.56 in",2.47,"N/A","May 5, 2020",,"No",70,"The Ecology Works, Inc"
14.,"The Ecology Works- Plant-Based Dog & Cat Allergy Spray, Dander Remover & Dust Mite Waste Reducer for Relief from Allergies - Cleans Home, Bedding & Furniture Naturally, Fragrance-Free","B0886ZQ5TK","https://www.amazon.com/dp/B0886ZQ5TK?psc=1","https://m.media-amazon.com/images/I/61HmmIo0X0L._AC_SY355_.jpg","The Ecology Works",17.99,"2,401","2,308","1,000","48,098.65","44,448.19",183,"15,565","N/A",10.25,1,4.4,953,8,23,"The Ecology Works, Inc","Health & Household","Large Standard-Size","FBA","10.00 x 4.37 x 5.47 in",2.69,"N/A","May 5, 2020",,"No",70,"The Ecology Works, Inc"
9.,"Allersearch ADMS Anti-Allergen Spray 32","B0010DLYR4","https://www.amazon.com/dp/B0010DLYR4?psc=1","https://m.media-amazon.com/images/I/71w2ofvNwML._AC_SY355_.jpg","Allersearch",26.95,"1,112","1,112",900,"29,966.83","29,966.68",39,"26,203","N/A",10.09,1,4.4,"3,707",9,15,"AllerGuard Corporation","Health & Household","Large Standard-Size","FBA","10.55 x 5.98 x 7.17 in",2.29,"N/A","Mar 24, 2011",,"No",180,"AllerGuard Corporation"
20.,"Allergen Spray Concentrate 2 Pack | Use Your Own Bottle | Over 64oz Total","B08B72LPVB","https://www.amazon.com/dp/B08B72LPVB?psc=1","https://m.media-amazon.com/images/I/71F0kgXhX-L._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg","Allergy Asthma Clean",19.99,"1,478","1,256",900,"33,976.26","25,086.73",73,"23,692","N/A",6.07,1,4.6,"1,803",8,23,"Allergy Asthma Clean by Allergy Defender","Health & Household","Large Standard-Size","FBA","8.98 x 0.79 x 4.45 in",0.24,"N/A","Jun 15, 2020",,"No",69,"Allergy Asthma Clean by Allergy Defender"
52.,"Pacagen Dust Allergen Neutralizing Spray for Humans - Perfect for Home Use, Immediate Results, Easy to Use, and Pet Friendly - A Few Sprays Away from A Clear Day","B0F3RQ99LX","https://www.amazon.com/dp/B0F3RQ99LX?psc=1","https://m.media-amazon.com/images/I/61JXZ8k2HzL._AC_SY355_.jpg","Pacagen",66,352,352,200,"22,386.8","22,385.75",161,"63,414","N/A",16.42,1,4.4,145,6,10,"Pacagen","Health & Household","Large Standard-Size","FBA","12.20 x 4.92 x 6.38 in",1.23,"N/A","Apr 4, 2025",,"No",11,"Pacagen"
65.,"Flonase Sensimist Allergy Relief Nasal Spray - Non-Drowsy 24HR Long Lasting Allergy Relief with Fine, Scent-Free Mist - 120 Sprays Plus Bonus Pack of Tissues","B0D2J2F6G9","https://www.amazon.com/dp/B0D2J2F6G9?psc=1","https://m.media-amazon.com/images/I/71R+AVjf9SL._AC_SY355_.jpg","Flonase",27.99,734,734,"N/A","20,558.28","20,550.93",157,"3,577","AMZ",9.39,1,4.7,797,12,92,"Amazon","Health & Household","Large Standard-Size","AMZ","7.87 x 1.81 x 6.38 in",0.33,"N/A","Apr 23, 2024",,"No",23,"Amazon"
